a,b,K,seed_call_idx,product_full,product_rounded
86,23,1,245,1978,1978
83,-127,1,246,-10541,-10540
35,-18,1,247,-630,-630
61,-1,1,248,-61,-62
-13,54,1,249,-702,-702
-51,98,1,250,-4998,-4998
-122,126,1,251,-15372,-15372
-27,50,1,252,-1350,-1350
107,17,1,253,1819,1820
40,83,1,254,3320,3320
-58,-81,1,255,4698,4698
-55,107,2,256,-5885,-5888
56,126,2,257,7056,7056
-126,-1,2,258,126,128
-18,-23,2,259,414,412
88,-88,2,260,-7744,-7744
31,94,2,261,2914,2912
-90,-67,2,262,6030,6028
-104,-63,2,263,6552,6552
88,81,2,264,7128,7128
-54,112,2,265,-6048,-6048
-21,63,2,266,-1323,-1324
-24,-22,2,267,528,528
6,55,2,268,330,332
74,84,2,269,6216,6216
70,-21,2,270,-1470,-1472
-4,-27,2,271,108,108
80,52,2,272,4160,4160
14,-4,2,273,-56,-56
118,46,2,274,5428,5428
54,1,2,275,54,56
68,-18,2,276,-1224,-1224
35,-59,2,277,-2065,-2064
29,98,2,278,2842,2840
-128,19,2,279,-2432,-2432
-80,-52,2,280,4160,4160
-115,-92,2,281,10580,10580
20,38,2,282,760,760
-83,115,2,283,-9545,-9544
-16,40,2,284,-640,-640
-86,-98,2,285,8428,8428
-29,101,2,286,-2929,-2928
116,47,2,287,5452,5452
67,-76,2,288,-5092,-5092
-112,-77,2,289,8624,8624
-66,-94,2,290,6204,6204
-44,-89,2,291,3916,3916
-19,49,2,292,-931,-928
44,-89,2,293,-3916,-3916
-10,41,2,294,-410,-408
6,79,2,295,474,476
-63,-14,2,296,882,884
-127,-107,2,297,13589,13588
-67,-90,2,298,6030,6028
22,44,2,299,968,968
-122,-122,2,300,14884,14884
-37,48,2,301,-1776,-1776
37,-48,2,302,-1776,-1776
-102,110,2,303,-11220,-11220
-100,-124,2,304,12400,12400
121,-25,2,305,-3025,-3028
-62,-49,2,306,3038,3036
-79,46,2,307,-3634,-3632
-26,-16,2,308,416,416
-91,7,2,309,-637,-640
-66,-12,2,310,792,792
4,19,2,311,76,76
-64,84,2,312,-5376,-5376
123,-116,2,313,-14268,-14268
8,-61,2,314,-488,-488
40,11,2,315,440,440
123,113,2,316,13899,13900
106,8,2,317,848,848
-127,-82,2,318,10414,10412
69,-98,2,319,-6762,-6764
62,-123,2,320,-7626,-7624
-109,-120,2,321,13080,13080
30,-108,2,322,-3240,-3240
122,-9,2,323,-1098,-1100
-84,94,2,324,-7896,-7896
118,-6,2,325,-708,-708
29,113,2,326,3277,3280
-72,-16,2,327,1152,1152
-39,-37,2,328,1443,1444
-67,-109,2,329,7303,7304
-52,-47,2,330,2444,2444
66,98,2,331,6468,6468
119,-29,2,332,-3451,-3452
-45,-128,2,333,5760,5760
-44,69,2,334,-3036,-3036
75,85,2,335,6375,6376
5,114,2,336,570,572
-55,-94,2,337,5170,5168
80,-69,2,338,-5520,-5520
-64,-98,2,339,6272,6272
-109,-108,2,340,11772,11772
-39,-115,2,341,4485,4488
57,-43,2,342,-2451,-2452
33,101,2,343,3333,3332
112,79,2,344,8848,8848
58,88,2,345,5104,5104
-20,-118,2,346,2360,2360
82,38,2,347,3116,3116
-113,42,2,348,-4746,-4744
-51,103,2,349,-5253,-5252
67,-67,2,350,-4489,-4488
-96,-48,2,351,4608,4608
-118,30,2,352,-3540,-3540
-29,-76,2,353,2204,2204
-2,110,2,354,-220,-220
-113,43,2,355,-4859,-4856
-49,17,2,356,-833,-832
41,-110,2,357,-4510,-4512
-91,-101,2,358,9191,9192
92,50,2,359,4600,4600
-9,-15,2,360,135,132
37,25,2,361,925,924
-88,8,2,362,-704,-704
-91,-127,2,363,11557,11556
23,-69,2,364,-1587,-1584
105,-100,2,365,-10500,-10500
30,70,2,366,2100,2100
0,122,2,367,0,0
-39,66,2,368,-2574,-2572
30,108,2,369,3240,3240
-17,-127,2,370,2159,2156
68,-30,2,371,-2040,-2040
34,0,2,372,0,0
-70,-10,2,373,700,700
-44,-47,2,374,2068,2068
100,123,2,375,12300,12300
0,60,2,376,0,0
-48,84,2,377,-4032,-4032
54,-58,2,378,-3132,-3132
-20,-66,2,379,1320,1320
72,97,2,380,6984,6984
-78,-25,2,381,1950,1948
-106,99,2,382,-10494,-10496
39,-19,2,383,-741,-740
-62,-68,2,384,4216,4216
76,-69,2,385,-5244,-5244
92,64,2,386,5888,5888
23,-92,2,387,-2116,-2116
-47,22,2,388,-1034,-1032
-39,39,2,389,-1521,-1524
58,66,2,390,3828,3828
21,-94,2,391,-1974,-1972
-78,-38,2,392,2964,2964
-42,-109,2,393,4578,4580
110,48,2,394,5280,5280
-89,-47,2,395,4183,4184
65,-11,2,396,-715,-712
-10,-110,2,397,1100,1100
22,61,2,398,1342,1344
58,-23,2,399,-1334,-1332
-57,120,2,400,-6840,-6840
46,26,2,401,1196,1196
45,120,2,402,5400,5400
122,-72,2,403,-8784,-8784
-81,-30,2,404,2430,2432
-98,86,2,405,-8428,-8428
-91,-98,2,406,8918,8920
19,115,2,407,2185,2184
-29,1,2,408,-29,-28
88,-124,2,409,-10912,-10912
73,-46,2,410,-3358,-3360
47,-43,2,411,-2021,-2020
-61,15,2,412,-915,-912
-38,90,2,413,-3420,-3420
-90,111,2,414,-9990,-9992
-64,-21,2,415,1344,1344
40,-115,2,416,-4600,-4600
75,3,2,417,225,224
-62,64,2,418,-3968,-3968
-39,-100,2,419,3900,3900
-50,-44,2,420,2200,2200
-52,40,2,421,-2080,-2080
94,-86,2,422,-8084,-8084
-19,126,2,423,-2394,-2396
99,47,2,424,4653,4652
94,-60,2,425,-5640,-5640
11,25,2,426,275,272
-124,-51,2,427,6324,6324
-93,85,2,428,-7905,-7908
54,26,2,429,1404,1404
31,-72,2,430,-2232,-2232
40,100,2,431,4000,4000
8,-50,2,432,-400,-400
-52,-114,2,433,5928,5928
-37,-39,2,434,1443,1444
-89,-101,2,435,8989,8992
103,116,2,436,11948,11948
9,-103,2,437,-927,-928
101,82,2,438,8282,8284
29,37,2,439,1073,1072
57,126,2,440,7182,7180
-94,-11,2,441,1034,1032
43,46,2,442,1978,1976
118,80,2,443,9440,9440
-65,118,2,444,-7670,-7668
-19,-40,2,445,760,760
-39,-85,2,446,3315,3316
-52,78,2,447,-4056,-4056
-74,-35,2,448,2590,2588
46,-81,2,449,-3726,-3728
-31,112,2,450,-3472,-3472
31,116,2,451,3596,3596
-117,-78,2,452,9126,9128
93,87,2,453,8091,8092
-50,16,2,454,-800,-800
-4,112,2,455,-448,-448
67,44,2,456,2948,2948
72,99,2,457,7128,7128
-95,59,2,458,-5605,-5604
-4,-79,2,459,316,316
-105,-23,2,460,2415,2416
117,-62,2,461,-7254,-7252
-31,99,2,462,-3069,-3072
-98,-8,2,463,784,784
-124,-94,2,464,11656,11656
-108,-82,2,465,8856,8856
44,-12,2,466,-528,-528
55,42,2,467,2310,2312
-33,-52,2,468,1716,1716
42,-100,2,469,-4200,-4200
-25,101,2,470,-2525,-2524
15,83,2,471,1245,1244
62,17,2,472,1054,1056
-55,118,2,473,-6490,-6488
-117,-93,2,474,10881,10884
-63,117,2,475,-7371,-7368
-69,-52,2,476,3588,3588
-126,13,2,477,-1638,-1636
-30,66,2,478,-1980,-1980
-64,110,2,479,-7040,-7040
14,98,2,480,1372,1372
17,-21,2,481,-357,-356
27,-45,2,482,-1215,-1216
70,-114,2,483,-7980,-7980
-80,50,2,484,-4000,-4000
97,-54,2,485,-5238,-5236
53,-106,2,486,-5618,-5620
-105,126,2,487,-13230,-13228
110,-112,2,488,-12320,-12320
88,41,2,489,3608,3608
-36,67,2,490,-2412,-2412
5,71,2,491,355,356
-104,85,2,492,-8840,-8840
-73,-23,2,493,1679,1680
63,6,2,494,378,376
-32,-84,2,495,2688,2688
33,120,2,496,3960,3960
15,24,2,497,360,360
-126,-12,2,498,1512,1512
-43,-13,2,499,559,560
127,-36,2,500,-4572,-4572
68,-110,2,501,-7480,-7480
67,60,2,502,4020,4020
-27,18,2,503,-486,-484
102,121,2,504,12342,12340
-6,9,2,505,-54,-56
-90,81,2,506,-7290,-7288
-90,27,2,507,-2430,-2428
-101,-106,2,508,10706,10708
107,37,2,509,3959,3960
-103,-8,2,510,824,824
39,-59,2,511,-2301,-2300
-123,19,3,512,-2337,-2336
82,10,3,513,820,824
-97,-60,3,514,5820,5824
-7,-33,3,515,231,232
-43,-101,3,516,4343,4336
-25,29,3,517,-725,-720
-26,-38,3,518,988,992
-115,-13,3,519,1495,1496
-10,44,3,520,-440,-440
-47,60,3,521,-2820,-2824
-119,-103,3,522,12257,12256
-98,-21,3,523,2058,2056
-120,-4,3,524,480,480
44,19,3,525,836,840
77,106,3,526,8162,8160
32,48,3,527,1536,1536
-69,-65,3,528,4485,4488
65,20,3,529,1300,1296
16,24,3,530,384,384
-21,60,3,531,-1260,-1256
-33,16,3,532,-528,-528
-76,-118,3,533,8968,8968
-2,11,3,534,-22,-24
-43,5,3,535,-215,-216
121,-87,3,536,-10527,-10528
-17,70,3,537,-1190,-1192
-98,115,3,538,-11270,-11272
-49,-13,3,539,637,640
95,-124,3,540,-11780,-11784
102,-38,3,541,-3876,-3880
10,54,3,542,540,544
109,-28,3,543,-3052,-3048
-109,28,3,544,-3052,-3048
71,121,3,545,8591,8592
-95,-67,3,546,6365,6368
115,76,3,547,8740,8736
-30,5,3,548,-150,-152
20,-86,3,549,-1720,-1720
-77,115,3,550,-8855,-8848
62,114,3,551,7068,7064
-62,33,3,552,-2046,-2048
-6,-6,3,553,36,40
45,-37,3,554,-1665,-1664
71,93,3,555,6603,6608
-23,17,3,556,-391,-392
60,71,3,557,4260,4264
106,30,3,558,3180,3184
69,47,3,559,3243,3240
-94,59,3,560,-5546,-5544
83,116,3,561,9628,9624
62,68,3,562,4216,4216
-51,124,3,563,-6324,-6320
-94,70,3,564,-6580,-6584
86,-90,3,565,-7740,-7744
-123,53,3,566,-6519,-6520
79,61,3,567,4819,4824
1,-87,3,568,-87,-88
81,-81,3,569,-6561,-6560
-106,95,3,570,-10070,-10072
17,-44,3,571,-748,-752
56,17,3,572,952,952
79,61,3,573,4819,4824
39,-22,3,574,-858,-864
74,10,3,575,740,736
-78,-20,3,576,1560,1560
72,-90,3,577,-6480,-6480
-56,114,3,578,-6384,-6384
70,-44,3,579,-3080,-3080
80,62,3,580,4960,4960
6,-19,3,581,-114,-120
82,-72,3,582,-5904,-5904
12,-99,3,583,-1188,-1192
101,-27,3,584,-2727,-2720
88,-68,3,585,-5984,-5984
-48,20,3,586,-960,-960
-78,-9,3,587,702,696
127,-124,3,588,-15748,-15744
-17,-2,3,589,34,32
76,-81,3,590,-6156,-6160
88,102,3,591,8976,8976
18,30,3,592,540,536
102,-104,3,593,-10608,-10608
21,-61,3,594,-1281,-1280
11,44,3,595,484,488
-67,80,3,596,-5360,-5360
115,-43,3,597,-4945,-4944
28,-33,3,598,-924,-920
43,-20,3,599,-860,-856
15,107,3,600,1605,1600
-77,-44,3,601,3388,3384
-78,-106,3,602,8268,8272
106,28,3,603,2968,2968
32,-96,3,604,-3072,-3072
-95,-112,3,605,10640,10640
-15,123,3,606,-1845,-1840
126,8,3,607,1008,1008
17,15,3,608,255,256
-26,-80,3,609,2080,2080
-61,19,3,610,-1159,-1160
-73,121,3,611,-8833,-8832
117,-15,3,612,-1755,-1760
90,90,3,613,8100,8104
-23,-45,3,614,1035,1040
-41,29,3,615,-1189,-1184
12,-30,3,616,-360,-360
-13,6,3,617,-78,-72
111,104,3,618,11544,11544
103,-26,3,619,-2678,-2680
101,-123,3,620,-12423,-12424
15,-127,3,621,-1905,-1904
-54,-33,3,622,1782,1776
-1,-53,3,623,53,56
-3,64,3,624,-192,-192
-13,-34,3,625,442,448
-101,-61,3,626,6161,6160
-106,-94,3,627,9964,9960
-99,-95,3,628,9405,9408
89,116,3,629,10324,10328
-44,31,3,630,-1364,-1360
-87,-90,3,631,7830,7824
-110,115,3,632,-12650,-12648
111,52,3,633,5772,5768
62,-52,3,634,-3224,-3224
100,-127,3,635,-12700,-12696
-102,66,3,636,-6732,-6728
-19,22,3,637,-418,-416
7,-83,3,638,-581,-576
-122,86,3,639,-10492,-10496
89,3,3,640,267,272
-54,-90,3,641,4860,4864
-53,69,3,642,-3657,-3664
-49,72,3,643,-3528,-3528
11,-53,3,644,-583,-584
-75,66,3,645,-4950,-4944
25,57,3,646,1425,1424
83,-89,3,647,-7387,-7384
-89,-13,3,648,1157,1152
-73,56,3,649,-4088,-4088
100,101,3,650,10100,10104
-33,1,3,651,-33,-32
-40,-48,3,652,1920,1920
85,-35,3,653,-2975,-2976
0,28,3,654,0,0
-69,2,3,655,-138,-144
37,97,3,656,3589,3592
-116,-90,3,657,10440,10440
59,-56,3,658,-3304,-3304
-41,64,3,659,-2624,-2624
86,-127,3,660,-10922,-10928
-70,88,3,661,-6160,-6160
68,26,3,662,1768,1768
-59,32,3,663,-1888,-1888
110,-104,3,664,-11440,-11440
20,118,3,665,2360,2360
-85,69,3,666,-5865,-5864
67,116,3,667,7772,7768
-37,-44,3,668,1628,1624
124,119,3,669,14756,14760
-38,109,3,670,-4142,-4144
-95,64,3,671,-6080,-6080
-96,-16,3,672,1536,1536
103,1,3,673,103,104
-110,-89,3,674,9790,9792
108,46,3,675,4968,4968
25,14,3,676,350,352
93,-111,3,677,-10323,-10320
-108,23,3,678,-2484,-2488
-55,32,3,679,-1760,-1760
-86,-7,3,680,602,600
-106,101,3,681,-10706,-10712
88,-23,3,682,-2024,-2024
-87,-92,3,683,8004,8000
66,-122,3,684,-8052,-8056
67,11,3,685,737,736
89,-32,3,686,-2848,-2848
-55,-42,3,687,2310,2312
-18,28,3,688,-504,-504
63,-44,3,689,-2772,-2768
77,25,3,690,1925,1920
-71,-56,3,691,3976,3976
-6,-67,3,692,402,400
96,-11,3,693,-1056,-1056
-94,-86,3,694,8084,8088
123,-82,3,695,-10086,-10088
25,54,3,696,1350,1352
35,27,3,697,945,944
-48,82,3,698,-3936,-3936
121,92,3,699,11132,11136
56,91,3,700,5096,5096
-40,31,3,701,-1240,-1240
-104,-126,3,702,13104,13104
7,-90,3,703,-630,-624
90,-78,3,704,-7020,-7024
-71,-27,3,705,1917,1920
12,91,3,706,1092,1088
18,-13,3,707,-234,-232
121,-3,3,708,-363,-368
-8,-20,3,709,160,160
31,-42,3,710,-1302,-1296
15,58,3,711,870,872
32,10,3,712,320,320
114,-93,3,713,-10602,-10600
-46,72,3,714,-3312,-3312
89,-70,3,715,-6230,-6232
32,127,3,716,4064,4064
8,34,3,717,272,272
115,43,3,718,4945,4944
70,108,3,719,7560,7560
-96,-87,3,720,8352,8352
112,107,3,721,11984,11984
-4,-19,3,722,76,72
115,-36,3,723,-4140,-4144
-38,-26,3,724,988,984
26,92,3,725,2392,2392
-12,106,3,726,-1272,-1272
-9,-123,3,727,1107,1104
7,127,3,728,889,888
48,100,3,729,4800,4800
27,73,3,730,1971,1968
-40,-85,3,731,3400,3400
-19,-25,3,732,475,480
58,3,3,733,174,176
44,-7,3,734,-308,-312
-6,-92,3,735,552,552
116,76,3,736,8816,8816
-90,-94,3,737,8460,8456
30,-16,3,738,-480,-480
-103,-78,3,739,8034,8032
-95,61,3,740,-5795,-5792
-79,126,3,741,-9954,-9952
20,-76,3,742,-1520,-1520
83,20,3,743,1660,1656
-117,37,3,744,-4329,-4328
94,2,3,745,188,192
101,-46,3,746,-4646,-4648
-70,91,3,747,-6370,-6368
75,51,3,748,3825,3824
-85,-108,3,749,9180,9176
-47,58,3,750,-2726,-2728
-77,78,3,751,-6006,-6008
-43,60,3,752,-2580,-2584
29,51,3,753,1479,1480
-2,115,3,754,-230,-232
-68,61,3,755,-4148,-4152
-106,27,3,756,-2862,-2856
-110,55,3,757,-6050,-6048
-119,65,3,758,-7735,-7736
-18,119,3,759,-2142,-2144
-21,54,3,760,-1134,-1136
15,66,3,761,990,992
56,-127,3,762,-7112,-7112
81,-117,3,763,-9477,-9472
-10,21,3,764,-210,-208
-35,-104,3,765,3640,3640
1,99,3,766,99,96
-27,-93,3,767,2511,2512
14,-34,4,768,-476,-480
119,-97,4,769,-11543,-11552
-64,-22,4,770,1408,1408
-125,-23,4,771,2875,2880
92,105,4,772,9660,9648
105,79,4,773,8295,8304
18,12,4,774,216,208
-21,33,4,775,-693,-688
-82,-77,4,776,6314,6304
-127,-105,4,777,13335,13344
-122,-81,4,778,9882,9872
57,-45,4,779,-2565,-2560
14,-33,4,780,-462,-464
21,51,4,781,1071,1072
5,-91,4,782,-455,-448
55,68,4,783,3740,3728
70,44,4,784,3080,3088
38,48,4,785,1824,1824
-7,79,4,786,-553,-560
25,64,4,787,1600,1600
-86,84,4,788,-7224,-7232
-23,-67,4,789,1541,1536
-34,83,4,790,-2822,-2816
51,-73,4,791,-3723,-3728
109,83,4,792,9047,9056
-65,-8,4,793,520,512
-26,-128,4,794,3328,3328
5,-27,4,795,-135,-128
29,-78,4,796,-2262,-2272
51,-1,4,797,-51,-48
78,-79,4,798,-6162,-6160
46,66,4,799,3036,3040
-49,61,4,800,-2989,-2992
-125,-45,4,801,5625,5632
54,29,4,802,1566,1552
35,-52,4,803,-1820,-1824
44,-89,4,804,-3916,-3920
-123,60,4,805,-7380,-7376
16,108,4,806,1728,1728
-81,126,4,807,-10206,-10208
-37,89,4,808,-3293,-3296
-5,93,4,809,-465,-480
43,-7,4,810,-301,-304
-57,88,4,811,-5016,-5024
-103,-96,4,812,9888,9888
-82,86,4,813,-7052,-7040
-75,69,4,814,-5175,-5168
-18,104,4,815,-1872,-1872
41,-91,4,816,-3731,-3728
-112,-89,4,817,9968,9968
-78,-41,4,818,3198,3200
7,-114,4,819,-798,-800
75,75,4,820,5625,5632
97,-50,4,821,-4850,-4848
-110,123,4,822,-13530,-13536
18,16,4,823,288,288
-75,18,4,824,-1350,-1360
-59,87,4,825,-5133,-5136
-17,-15,4,826,255,256
-107,-47,4,827,5029,5040
16,112,4,828,1792,1792
-94,77,4,829,-7238,-7232
-7,29,4,830,-203,-192
54,-22,4,831,-1188,-1184
-81,84,4,832,-6804,-6800
64,81,4,833,5184,5184
66,-17,4,834,-1122,-1120
82,115,4,835,9430,9424
5,51,4,836,255,256
32,-24,4,837,-768,-768
72,-80,4,838,-5760,-5760
106,-111,4,839,-11766,-11760
-3,32,4,840,-96,-96
70,39,4,841,2730,2720
96,16,4,842,1536,1536
71,-8,4,843,-568,-576
121,72,4,844,8712,8720
-61,80,4,845,-4880,-4880
91,14,4,846,1274,1280
-43,37,4,847,-1591,-1584
-123,-72,4,848,8856,8848
-20,34,4,849,-680,-688
103,-74,4,850,-7622,-7632
16,-110,4,851,-1760,-1760
-124,6,4,852,-744,-736
114,-123,4,853,-14022,-14032
10,83,4,854,830,832
93,-52,4,855,-4836,-4832
98,-56,4,856,-5488,-5488
-93,-21,4,857,1953,1952
-85,46,4,858,-3910,-3904
104,-87,4,859,-9048,-9056
111,-12,4,860,-1332,-1344
6,-58,4,861,-348,-352
-89,9,4,862,-801,-800
-9,-119,4,863,1071,1072
25,94,4,864,2350,2352
2,39,4,865,78,80
6,80,4,866,480,480
-47,-70,4,867,3290,3296
-128,-70,4,868,8960,8960
8,-32,4,869,-256,-256
107,121,4,870,12947,12944
-13,-102,4,871,1326,1328
2,-93,4,872,-186,-176
-83,112,4,873,-9296,-9296
32,-66,4,874,-2112,-2112
-110,-79,4,875,8690,8688
-88,82,4,876,-7216,-7216
-38,126,4,877,-4788,-4800
-4,114,4,878,-456,-464
117,-25,4,879,-2925,-2928
-10,22,4,880,-220,-208
104,-29,4,881,-3016,-3024
120,117,4,882,14040,14048
-100,116,4,883,-11600,-11600
-27,-66,4,884,1782,1792
126,64,4,885,8064,8064
-45,65,4,886,-2925,-2928
-10,-56,4,887,560,560
36,80,4,888,2880,2880
47,-53,4,889,-2491,-2496
-11,-29,4,890,319,320
-86,-102,4,891,8772,8768
0,5,4,892,0,0
-24,57,4,893,-1368,-1376
-23,-119,4,894,2737,2736
-90,106,4,895,-9540,-9536
15,-34,4,896,-510,-512
-10,29,4,897,-290,-288
86,75,4,898,6450,6448
