a,b,bits,window,sum
1807448887,-1859704261,32,8,-52255374
1967891730,-181442075,32,8,1786384119
14584880,813972767,32,8,811780431
-2101621536,-1846001293,32,8,330501459
-172883701,1066921933,32,8,877261016
1627962238,1305077766,32,8,-1361992828
775221959,-1041799455,32,8,-283420504
2063263474,737141155,32,8,-1511405675
1230723463,-1492599652,32,8,-261941981
-1791418474,-273294286,32,8,-2064712760
435588180,534455758,32,8,953266466
214466459,1775348144,32,8,1972971595
-1518910482,1538995421,32,8,3307467
-590444067,-769726268,32,8,-1360236127
164612803,1279157981,32,8,1426927776
-1694416031,-637256048,32,8,1963295217
-1860714885,-1881540437,32,8,552646182
1367848168,514020333,32,8,1865025493
-908678143,1305454344,32,8,379933449
-1382335431,1324929227,32,8,-74249212
2000004681,1061253338,32,8,-1233775069
-1191799198,1407458270,32,8,198881600
-1979806091,-1919921690,32,8,378462043
1785316541,374203304,32,8,-2135513243
1218856314,-2113204685,32,8,-894348371
1709684337,1083131190,32,8,-1518928985
-683625186,140613062,32,8,-543077660
2014978594,-46883289,32,8,1968095305
149432361,522411285,32,8,655066430
-774324139,-1255758727,32,8,-2030148402
1134935142,-247035437,32,8,887833913
-1663029124,1583428219,32,8,-96378121
451965507,-1119977812,32,8,-684789521
1485052169,-1168885483,32,8,316166686
-1154266530,-1794970687,32,8,1345664287
-1998332989,1946270169,32,8,-52128612
1373467014,-1939912142,32,8,-583222344
2060647242,1347868115,32,8,-903294947
-1670186018,-719673483,32,8,1905042003
-1761620474,1197588825,32,8,-580874401
2021798013,561094768,32,8,-1712074515
1154658809,1008623518,32,8,-2131750761
1867920797,326525353,32,8,-2100521402
-704260939,-2067641353,32,8,1522999212
-810168493,888055094,32,8,61043849
182994183,248528540,32,8,414745507
2050783606,-50946492,32,8,1982994362
413756439,-372542513,32,8,24436710
1119733085,1866055044,32,8,-1309244703
706310864,-1861896846,32,8,-1155651774
-811362595,-1171903476,32,8,-1983266071
1673957236,2077415625,32,8,-560437443
-1588538571,-1922361990,32,8,784066735
-1644779644,1969623981,32,8,308066865
-44173364,-2137337075,32,8,2113391321
-258500514,2122175525,32,8,1846832259
-414774746,1007643879,32,8,592868877
-2077989417,1418118280,32,8,-659936929
2094222918,-1879319541,32,8,198060625
-1455436156,1522960275,32,8,50681111
546760089,-535548125,32,8,11146428
1197681506,-1502748106,32,8,-305132136
-1963880696,-1450332113,32,8,863911735
1252202378,762972662,32,8,1998397568
658358324,118011689,32,8,776304477
-620347622,961931927,32,8,341518769
-1180593672,-658218116,32,8,-1855589260
-226149732,952664007,32,8,709736803
364758656,958428368,32,8,1323121232
-238840547,79199859,32,8,-176483440
1659520314,-1688435973,32,8,-45693131
596263649,-1018939260,32,8,-422675867
737707524,481459065,32,8,1202323837
1174505199,2076930336,32,8,-1043532017
-73188406,862949506,32,8,772983628
-1240779849,463915366,32,8,-776864739
-1087805356,-690072641,32,8,-1794655469
1180191072,2055083979,32,8,-1059692501
-1565272776,-828248614,32,8,1884602898
1174085111,-589493227,32,8,567814412
1518115510,1558986073,32,8,-1234643185
-633455213,-206074382,32,8,-839529851
-368277075,1570382006,32,8,1202104675
-1268326575,1341221209,32,8,56051882
-722241842,663140672,32,8,-75944178
-988597672,156937110,32,8,-831660562
-1330751482,-752769846,32,8,-2083521328
838364753,1023980153,32,8,1845502154
-778252157,-350994935,32,8,-1129312628
912352309,-778834294,32,8,133452479
-18936821,-555223630,32,8,-591003203
-2118067704,1293152279,32,8,-824980961
-154335087,-338699839,32,8,-509812398
1286312742,-373309670,32,8,896160320
846794601,-1108279960,32,8,-278328111
-966425152,-991618343,32,8,-1974820967
1265544105,-930092512,32,8,335386057
202977670,-1417739968,32,8,-1214762298
-248064948,849402121,32,8,601271637
-1912928427,1333121960,32,8,-596583683
219055506,-1089012530,32,8,-870022816
-8156209,-1514901248,32,8,-1539834673
1641716744,860324962,32,8,-1809768342
1936646413,689776404,32,8,-1668610015
-1234703206,-891412323,32,8,-2142958537
450829304,-140632013,32,8,293419819
-515501021,-1652642485,32,8,2126823790
28986990,-1085345652,32,8,-1073201414
330400267,1575557558,32,8,1889180609
-1460033618,-648731838,32,8,-2125542672
1422592783,49390525,32,8,1455206092
958919455,1216749835,32,8,-2119363542
2017837977,-242760606,32,8,1775011835
-1837759065,-1723321132,32,8,733886843
-1398055547,1260769609,32,8,-137351474
-1229405881,-954780770,32,8,2110780645
890177328,1260996059,32,8,-2143794165
1634569045,-1648342099,32,8,-30550526
-38346269,-2068146143,32,8,-2123335420
-1645392278,1625528630,32,8,-36640864
1414466815,-1932435732,32,8,-534746389
2133759697,472349534,32,8,-1688923857
-511071549,1878717584,32,8,1350803027
-415051623,-1041538543,32,8,-1473432918
-1857554360,107853556,32,8,-1749766596
-1175637503,1107999097,32,8,-67638406
1671872542,-786591772,32,8,885214978
297294945,-294127722,32,8,-13675529
1164752677,1103104194,32,8,-2043887641
1830508159,164667829,32,8,1995175732
-908178789,444227918,32,8,-480728087
1250825195,698072839,32,8,1932120818
1779451077,-1501471971,32,8,277979106
1912543052,474577377,32,8,-1924624339
-1019734063,-407587613,32,8,-1427321932
-61198842,-367693049,32,8,-428891891
-1932769262,-310825138,32,8,2034595680
9352908,827883076,32,8,837170192
1459661847,-1866109604,32,8,-406513293
-1516421605,2113196057,32,8,579931700
397719218,637778751,32,8,1035432433
782832956,-1700254790,32,8,-934199050
-426336497,2109609167,32,8,1666495454
292619855,845072309,32,8,1137691908
-756468178,-875743939,32,8,-1648989333
-1402665968,-256115651,32,8,-1675624371
1410884261,-747393488,32,8,663425237
2043633264,-2072815234,32,8,-45959186
-1164803205,1660696098,32,8,479115677
564223656,1544262119,32,8,2108485519
180653971,1068080766,32,8,1231891729
1719094773,-1550630712,32,8,151686589
-503170949,-1364074209,32,8,-1867310694
1145751077,478235235,32,8,1623920776
531753816,-1596355168,32,8,-1081444104
1972401133,1372285606,32,8,-967058029
1756271279,1994782296,32,8,-560756729
1833486430,-1864549135,32,8,-47905713
-1165651506,-529206128,32,8,-1694923426
-2046543523,-313074321,32,8,1935283916
1759823432,-206347103,32,8,1536633577
-1390454603,1422686657,32,8,32231798
660824507,-608737774,32,8,35309517
-886326588,2027716065,32,8,1124546469
-1967136280,-832397378,32,8,1478590630
32497951,-1298009365,32,8,-1282354422
1899712043,-187696989,32,8,1695172302
35983602,-748326899,32,8,-712343297
-284827953,-1901304250,32,8,2108769301
-1535107567,-499667779,32,8,-2034775346
-1038423673,61849729,32,8,-976639736
-342985442,360873409,32,8,1110751
1356378870,1370988904,32,8,-1584442530
-631143569,55805955,32,8,-575403150
-1908109338,-1641468363,32,8,745389339
564733532,995496220,32,8,1560229752
-494847241,1920069383,32,8,1425156606
-1188458960,2096983691,32,8,891747515
1480411133,94974146,32,8,1575385023
1194122651,898984637,32,8,2093041496
745535896,-2057129219,32,8,-1311659115
600838210,-503244483,32,8,97593727
-1928907312,1924558190,32,8,-4349378
818130552,811816122,32,8,1613103666
-2051961644,323860521,32,8,-1728166659
2027242247,1493059880,32,8,-791442385
-240606860,950073077,32,8,692623209
1718079226,-1529533047,32,8,171768707
-1483277778,-766858455,32,8,2044765527
891042990,-894030034,32,8,-2987044
971516629,-41536847,32,8,913202310
1931415139,-2123086957,32,8,-191671818
1723163046,742157959,32,8,-1829646547
-583113431,413400072,32,8,-169778895
897269486,-2091155509,32,8,-1193886279
-1357079575,-930964772,32,8,2006857157
-517807639,-1825646612,32,8,1951447253
1707624398,-543339346,32,8,1147507580
-1778576932,-764711050,32,8,1734901842
-680067055,-1348468942,32,8,-2045313213
-1364165487,-1223964369,32,8,1706771904
612313304,-1099444809,32,8,-487131761
-487150268,-518683571,32,8,-1022676591
2104816326,-1707420400,32,8,397330390
-1933875790,1053930825,32,8,-896787717
-1231125918,1890768387,32,8,642799717
1051204192,-2016741588,32,8,-982380148
-1848858871,-484913754,32,8,1961129135
274054550,-411306717,32,8,-137317703
879750559,-514780317,32,8,364904450
-105791739,-2095609394,32,8,2093500627
312235485,-1539635084,32,8,-1227399855
1730200408,-1471533000,32,8,258667408
-280114712,78792023,32,8,-201388481
141405796,393636330,32,8,534976334
-1957269684,1207002676,32,8,-767044224
-525664353,-40611614,32,8,-583118975
-986200029,-986165131,32,8,-1972430696
-278274161,-1017242297,32,8,-1295516458
913989440,-259958157,32,8,654031283
592644081,1372770948,32,8,1948637557
1542121614,217351434,32,8,1742630296
-584352672,1934435424,32,8,1350082752
1704848038,-353969558,32,8,1334035472
540563678,-95699783,32,8,444798103
-1452349481,1011042298,32,8,-441372975
-2134568840,-188922897,32,8,1954698087
-240867927,1378461485,32,8,1137528022
662370581,-833010578,32,8,-170705533
-198785770,-287031660,32,8,-502660182
-932245622,-98814273,32,8,-1031060151
136124970,-637773321,32,8,-518425823
-826960969,553380178,32,8,-290423799
-249637482,839712295,32,8,590009277
1092087995,-911662542,32,16,180359917
-1651154750,-550719618,32,16,2093027392
1463964978,-523390200,32,16,940509242
919689947,955416248,32,16,1875106195
1008526784,-586902368,32,16,421558880
1248597526,-2088985739,32,16,-840388213
81552189,1990194886,32,16,2071681539
1301190178,365310664,32,16,1666500842
-167670256,2120434510,32,16,1952764254
-183478277,-1646708639,32,16,-1830186916
1212057888,-203478787,32,16,1008579101
-1789498042,875232412,32,16,-914331166
840753671,-65211350,32,16,775476785
1123956688,854038852,32,16,1977995540
1144976609,2018139731,32,16,-1131916492
-985393373,221641589,32,16,-763817320
1242751693,777439400,32,16,2020125557
1737512571,-1804466549,32,16,-66953978
-1108710450,-519859767,32,16,-1628570217
1456961960,865363195,32,16,-1972642141
2003667415,573490207,32,16,-1717875210
-1269613470,-948298411,32,16,2077055415
-1232754014,-646859930,32,16,-1879679480
-999080862,-839825435,32,16,-1838906297
1771813139,1431738621,32,16,-1091481072
-474573507,-483002012,32,16,-957641055
97169684,-1120776372,32,16,-1023672224
-1360932870,1432111637,32,16,71113231
464463984,-1757940047,32,16,-1293541599
28520250,681989878,32,16,710510128
1458798884,2078518903,32,16,-757715045
1634586301,1932339969,32,16,-728041026
-1814034101,-1968132724,32,16,512800471
997879920,1422410187,32,16,-1874677189
957042466,1235447287,32,16,-2102477543
2072434292,-2030376776,32,16,41991980
-509372141,821366032,32,16,311993891
-2145972307,-1823424262,32,16,325570727
1588362800,921113891,32,16,-1785490605
970155501,-1489900876,32,16,-519810911
-1300139688,-1822526644,32,16,1172300964
-1781960383,-1335488678,32,16,1177518235
-1502205597,-1538057989,32,16,1254703710
1590312425,1507680685,32,16,-1196974186
-1351428520,1324729996,32,16,-26764060
1425099954,-2057751794,32,16,-632651840
333515747,-127878240,32,16,205637507
-1783695430,-102207930,32,16,-1885968896
1141721776,1910847263,32,16,-1242398257
98712442,23093843,32,16,121806285
480681307,331480709,32,16,812096480
968747637,886102116,32,16,1854784217
-419405140,-1728423163,32,16,2147138993
-504313915,-306303856,32,16,-810617771
1534583863,505164272,32,16,2039682599
-717434638,340489534,32,16,-377010640
-1427252286,-1447635980,32,16,1420013494
-1929803297,1783135573,32,16,-146733260
-1178222031,-486755334,32,16,-1665042901
1840554601,-1694313943,32,16,146175122
336887128,-1309780617,32,16,-972893489
1404892518,331668873,32,16,1736495855
1951027684,497301292,32,16,-1846638320
1401263065,-430878879,32,16,970384186
-940539759,-1735879035,32,16,1618482966
-1830287470,-419578812,32,16,2045101014
-504229579,2140140829,32,16,1635845714
-1197386905,575472850,32,16,-621914055
-764332698,-1328549387,32,16,-2092947621
-1508450853,44231864,32,16,-1464284525
-491277451,-621692304,32,16,-1113035291
2074439408,336826834,32,16,-1883766590
1878605919,-1806669627,32,16,71936292
-1028151055,1380739451,32,16,352522860
-1854933997,-2008134269,32,16,431833494
1610409191,410299984,32,16,2020643639
2057774887,1098450410,32,16,-1138741999
614077066,-29262908,32,16,584814158
1159566293,-1057381468,32,16,102119289
2091037926,-1955068155,32,16,135969771
1375174391,994610483,32,16,-1925247958
1912839115,2041895593,32,16,-340298124
-1242818196,-1048294605,32,16,2003854495
569052428,-1539238584,32,16,-970186156
1871734053,1621428458,32,16,-801804785
-968082445,688080968,32,16,-280001477
-1366204559,773315701,32,16,-592954394
1604170406,-1539230840,32,16,64939566
1682672298,1715079003,32,16,-897215995
976725272,-287912526,32,16,688747210
-535521750,-849091489,32,16,-1384678775
-2049961103,1323266994,32,16,-726694109
399289507,-1734065168,32,16,-1334775661
215214284,-1985372516,32,16,-1770223768
-439435896,1612304314,32,16,1172802882
-1439860437,2124429868,32,16,684569431
-342449050,-709204918,32,16,-1051719504
-829633250,1254718701,32,16,425019915
-371889867,-1348117872,32,16,-1720007739
643915266,1172338541,32,16,1816253807
1115583976,-1509953520,32,16,-394435080
1576311425,-1251505594,32,16,324740295
169501189,-1607743734,32,16,-1438308081
-1923401112,2102063270,32,16,178596622
1657962550,-2102635001,32,16,-444672451
-370872005,442353851,32,16,71416310
-102112273,643914740,32,16,541736931
-1742017888,-2139446763,32,16,413437109
1045545267,-279558456,32,16,765921275
-179462437,-1512141566,32,16,-1691669539
1377477037,173183636,32,16,1550595137
-156016439,500385813,32,16,344369374
-857598465,1100991362,32,16,243392897
878231390,770587195,32,16,1648818585
-502406272,684441764,32,16,181969956
1192056676,389704427,32,16,1581761103
721936362,-871756259,32,16,-149819897
1744826042,-2030965191,32,16,-286204685
-2041886854,570016032,32,16,-1471936358
-1877589907,1456538499,32,16,-421051408
-570283095,185446848,32,16,-384836247
1840321889,413836743,32,16,-2040808664
1366624055,-545474900,32,16,821149155
339132501,-65561447,32,16,273505518
706542202,1034689317,32,16,1741165983
1803180709,-47153953,32,16,1756026756
1958671887,-2124623750,32,16,-166017399
1352333640,-230957833,32,16,1121310271
-1569940394,-541162157,32,16,-2111168087
-1337738917,-784734298,32,16,-2122538751
-2039383794,784672085,32,16,-1254711709
1391187381,-1760782790,32,16,-369660945
-540464632,1326933559,32,16,786468927
1370227394,-1259152613,32,16,111074781
-1785110266,63498338,32,16,-1721677464
-1320734465,1191839041,32,16,-128895424
-2081044988,-1476137491,32,16,737719281
114620136,1574089935,32,16,1688644535
1668032983,645717978,32,16,-1981281871
-947491511,-1295429182,32,16,2052046603
-698637110,284842969,32,16,-413859677
1648188187,-1727741488,32,16,-79618837
1077698364,1748436553,32,16,-1468832379
-1739464163,-1016494668,32,16,1538942929
-174455790,-1392852880,32,16,-1567308670
521365387,-1585285839,32,16,-1063920452
176526306,-886579593,32,16,-710118823
868051453,1889197899,32,16,-1537783480
46067792,-223299683,32,16,-177297427
923588210,-1230345410,32,16,-306822736
775984088,-1343013145,32,16,-567029057
-1988719083,-1875528493,32,16,430654184
-1767536537,-210440142,32,16,-1978042215
234288723,-2077408973,32,16,-1843185786
-915556458,-1457625108,32,16,1921720194
1806793203,994286721,32,16,-1493952908
1814607014,-1122351069,32,16,692255945
1601303408,-1087460490,32,16,513777382
-136910728,2018479452,32,16,1881503188
1540757370,1284224487,32,16,-1469985439
1117679316,-1177999774,32,16,-60320458
-1210786287,618071664,32,16,-592714623
-877074288,-1717381905,32,16,1700445567
1039541163,-1864241929,32,16,-824766302
-77684118,-1198727807,32,16,-1276477461
278833216,1822565961,32,16,2101399177
785432347,804473380,32,16,1589840191
-984820577,-1703490292,32,16,1606590891
-1903121938,-352514690,32,16,2039330668
-94918398,1799795565,32,16,1704811631
1403455149,478688034,32,16,1882143183
1699539652,560882306,32,16,-2034610874
26104149,-1932906743,32,16,-1906802594
-1272548722,-1901005279,32,16,1121347759
-1685881409,-324657418,32,16,-2010538827
111000157,157432498,32,16,268432655
-1595745011,1752258801,32,16,156448254
-1231209152,1280735515,32,16,49526363
-1317215670,-1854419420,32,16,1123266670
1690915249,-2080663396,32,16,-389748147
804462366,1009863908,32,16,1814326274
462814907,-827534748,32,16,-364785377
808033662,-49828056,32,16,758140070
1970829770,-1166133296,32,16,804696474
695992061,-1972550076,32,16,-1276623551
1268028264,-1457372068,32,16,-189343804
-187517259,1923731725,32,16,1736148930
-770983209,878757175,32,16,107708430
-1856252883,-1901853957,32,16,536860456
-526051940,197528703,32,16,-328523237
195228932,247538156,32,16,442701552
-2042639428,-2050367014,32,16,201895318
1759002402,1594502141,32,16,-941462753
-99482838,832836650,32,16,733353812
1618469881,923826266,32,16,-1752736685
-338377340,-741791853,32,16,-1080169193
-2122652451,19553506,32,16,-2103164481
1298261284,-1618134853,32,16,-319939105
1661487848,1943156743,32,16,-690322705
1782922609,-362225936,32,16,1420631137
1311147615,-1247784342,32,16,63363273
529439845,-759123402,32,16,-229749093
915397316,556758254,32,16,1472090034
-921006186,1425301801,32,16,504295615
961125416,443106609,32,16,1404232025
-1517369883,614922735,32,16,-902512684
57164049,-988732319,32,16,-931568270
-522305926,-835467101,32,16,-1357838563
-23234841,-1787268816,32,16,-1810503657
-1051997187,1512858163,32,16,460795440
1122854838,2117063044,32,16,-1055114950
2090858773,2041529601,32,16,-162644458
-2029183096,-974300776,32,16,1291483424
689538000,237650372,32,16,927188372
562095199,1425469123,32,16,1987498786
-1825679295,-1051194205,32,16,1418093796
1893897726,1212737171,32,16,-1188397935
-318465935,-1670533558,32,16,-1989065029
1580369560,-1070334590,32,16,509969434
-366599300,1788132111,32,16,1421532811
670050048,-1331435540,32,16,-661451028
