a,b,K,mode,product_full,product_rounded
1,-1,6,1,-1,0
1,0,0,0,0,0
1,0,0,1,0,0
1,0,1,0,0,0
1,0,1,1,0,0
1,0,2,0,0,0
1,0,2,1,0,0
1,0,3,0,0,0
1,0,3,1,0,0
1,0,4,0,0,0
1,0,4,1,0,0
1,0,5,0,0,0
1,0,5,1,0,0
1,0,6,0,0,0
1,0,6,1,0,0
1,1,0,0,1,1
1,1,0,1,1,1
1,1,1,0,1,0
1,1,1,1,1,2
1,1,2,0,1,0
1,1,2,1,1,0
1,1,3,0,1,0
1,1,3,1,1,0
1,1,4,0,1,0
1,1,4,1,1,0
1,1,5,0,1,0
1,1,5,1,1,0
1,1,6,0,1,0
1,1,6,1,1,0
1,127,0,0,127,127
1,127,0,1,127,127
1,127,1,0,127,126
1,127,1,1,127,128
1,127,2,0,127,124
1,127,2,1,127,128
1,127,3,0,127,120
1,127,3,1,127,128
1,127,4,0,127,112
1,127,4,1,127,128
1,127,5,0,127,96
1,127,5,1,127,128
1,127,6,0,127,64
1,127,6,1,127,128
127,-128,0,0,-16256,-16256
127,-128,0,1,-16256,-16256
127,-128,1,0,-16256,-16256
127,-128,1,1,-16256,-16256
127,-128,2,0,-16256,-16256
127,-128,2,1,-16256,-16256
127,-128,3,0,-16256,-16256
127,-128,3,1,-16256,-16256
127,-128,4,0,-16256,-16256
127,-128,4,1,-16256,-16256
127,-128,5,0,-16256,-16256
127,-128,5,1,-16256,-16256
127,-128,6,0,-16256,-16256
127,-128,6,1,-16256,-16256
127,-1,0,0,-127,-127
127,-1,0,1,-127,-127
127,-1,1,0,-127,-128
127,-1,1,1,-127,-126
127,-1,2,0,-127,-128
127,-1,2,1,-127,-128
127,-1,3,0,-127,-128
127,-1,3,1,-127,-128
127,-1,4,0,-127,-128
127,-1,4,1,-127,-128
127,-1,5,0,-127,-128
127,-1,5,1,-127,-128
127,-1,6,0,-127,-128
127,-1,6,1,-127,-128
127,0,0,0,0,0
127,0,0,1,0,0
127,0,1,0,0,0
127,0,1,1,0,0
127,0,2,0,0,0
127,0,2,1,0,0
127,0,3,0,0,0
127,0,3,1,0,0
127,0,4,0,0,0
127,0,4,1,0,0
127,0,5,0,0,0
127,0,5,1,0,0
127,0,6,0,0,0
127,0,6,1,0,0
127,1,0,0,127,127
127,1,0,1,127,127
127,1,1,0,127,126
127,1,1,1,127,128
127,1,2,0,127,124
127,1,2,1,127,128
127,1,3,0,127,120
127,1,3,1,127,128
127,1,4,0,127,112
127,1,4,1,127,128
127,1,5,0,127,96
127,1,5,1,127,128
127,1,6,0,127,64
127,1,6,1,127,128
127,127,0,0,16129,16129
127,127,0,1,16129,16129
127,127,1,0,16129,16128
127,127,1,1,16129,16130
127,127,2,0,16129,16128
127,127,2,1,16129,16128
127,127,3,0,16129,16128
127,127,3,1,16129,16128
127,127,4,0,16129,16128
127,127,4,1,16129,16128
127,127,5,0,16129,16128
127,127,5,1,16129,16128
127,127,6,0,16129,16128
127,127,6,1,16129,16128
-128,-128,0,0,16384,16384
-128,-128,0,1,16384,16384
-128,-128,1,0,16384,16384
-128,-128,1,1,16384,16384
-128,-128,2,0,16384,16384
-128,-128,2,1,16384,16384
-128,-128,3,0,16384,16384
-128,-128,3,1,16384,16384
-128,-128,4,0,16384,16384
-128,-128,4,1,16384,16384
-128,-128,5,0,16384,16384
-128,-128,5,1,16384,16384
-128,-128,6,0,16384,16384
-128,-128,6,1,16384,16384
-128,-96,0,0,12288,12288
-128,-96,0,1,12288,12288
-128,-96,1,0,12288,12288
-128,-96,1,1,12288,12288
-128,-96,2,0,12288,12288
-128,-96,2,1,12288,12288
-128,-96,3,0,12288,12288
-128,-96,3,1,12288,12288
-128,-96,4,0,12288,12288
-128,-96,4,1,12288,12288
-128,-96,5,0,12288,12288
-128,-96,5,1,12288,12288
-128,-96,6,0,12288,12288
-128,-96,6,1,12288,12288
-128,-64,0,0,8192,8192
-128,-64,0,1,8192,8192
-128,-64,1,0,8192,8192
-128,-64,1,1,8192,8192
-128,-64,2,0,8192,8192
-128,-64,2,1,8192,8192
-128,-64,3,0,8192,8192
-128,-64,3,1,8192,8192
-128,-64,4,0,8192,8192
-128,-64,4,1,8192,8192
-128,-64,5,0,8192,8192
-128,-64,5,1,8192,8192
-128,-64,6,0,8192,8192
-128,-64,6,1,8192,8192
-128,-32,0,0,4096,4096
-128,-32,0,1,4096,4096
-128,-32,1,0,4096,4096
-128,-32,1,1,4096,4096
-128,-32,2,0,4096,4096
-128,-32,2,1,4096,4096
-128,-32,3,0,4096,4096
-128,-32,3,1,4096,4096
-128,-32,4,0,4096,4096
-128,-32,4,1,4096,4096
-128,-32,5,0,4096,4096
-128,-32,5,1,4096,4096
-128,-32,6,0,4096,4096
-128,-32,6,1,4096,4096
-128,0,0,0,0,0
-128,0,0,1,0,0
-128,0,1,0,0,0
-128,0,1,1,0,0
-128,0,2,0,0,0
-128,0,2,1,0,0
-128,0,3,0,0,0
-128,0,3,1,0,0
-128,0,4,0,0,0
-128,0,4,1,0,0
-128,0,5,0,0,0
-128,0,5,1,0,0
-128,0,6,0,0,0
-128,0,6,1,0,0
-128,32,0,0,-4096,-4096
-128,32,0,1,-4096,-4096
-128,32,1,0,-4096,-4096
-128,32,1,1,-4096,-4096
-128,32,2,0,-4096,-4096
-128,32,2,1,-4096,-4096
-128,32,3,0,-4096,-4096
-128,32,3,1,-4096,-4096
-128,32,4,0,-4096,-4096
-128,32,4,1,-4096,-4096
-128,32,5,0,-4096,-4096
-128,32,5,1,-4096,-4096
-128,32,6,0,-4096,-4096
-128,32,6,1,-4096,-4096
-128,64,0,0,-8192,-8192
-128,64,0,1,-8192,-8192
-128,64,1,0,-8192,-8192
-128,64,1,1,-8192,-8192
-128,64,2,0,-8192,-8192
-128,64,2,1,-8192,-8192
-128,64,3,0,-8192,-8192
-128,64,3,1,-8192,-8192
-128,64,4,0,-8192,-8192
-128,64,4,1,-8192,-8192
-128,64,5,0,-8192,-8192
-128,64,5,1,-8192,-8192
-128,64,6,0,-8192,-8192
-128,64,6,1,-8192,-8192
-128,96,0,0,-12288,-12288
-128,96,0,1,-12288,-12288
-128,96,1,0,-12288,-12288
-128,96,1,1,-12288,-12288
-128,96,2,0,-12288,-12288
-128,96,2,1,-12288,-12288
-128,96,3,0,-12288,-12288
-128,96,3,1,-12288,-12288
-128,96,4,0,-12288,-12288
-128,96,4,1,-12288,-12288
-128,96,5,0,-12288,-12288
-128,96,5,1,-12288,-12288
-128,96,6,0,-12288,-12288
-128,96,6,1,-12288,-12288
-96,-128,0,0,12288,12288
-96,-128,0,1,12288,12288
-96,-128,1,0,12288,12288
-96,-128,1,1,12288,12288
-96,-128,2,0,12288,12288
-96,-128,2,1,12288,12288
-96,-128,3,0,12288,12288
-96,-128,3,1,12288,12288
-96,-128,4,0,12288,12288
-96,-128,4,1,12288,12288
-96,-128,5,0,12288,12288
-96,-128,5,1,12288,12288
-96,-128,6,0,12288,12288
-96,-128,6,1,12288,12288
-96,-96,0,0,9216,9216
-96,-96,0,1,9216,9216
-96,-96,1,0,9216,9216
-96,-96,1,1,9216,9216
-96,-96,2,0,9216,9216
-96,-96,2,1,9216,9216
-96,-96,3,0,9216,9216
-96,-96,3,1,9216,9216
-96,-96,4,0,9216,9216
-96,-96,4,1,9216,9216
-96,-96,5,0,9216,9216
-96,-96,5,1,9216,9216
-96,-96,6,0,9216,9216
-96,-96,6,1,9216,9216
-96,-64,0,0,6144,6144
-96,-64,0,1,6144,6144
-96,-64,1,0,6144,6144
-96,-64,1,1,6144,6144
-96,-64,2,0,6144,6144
-96,-64,2,1,6144,6144
-96,-64,3,0,6144,6144
-96,-64,3,1,6144,6144
-96,-64,4,0,6144,6144
-96,-64,4,1,6144,6144
-96,-64,5,0,6144,6144
-96,-64,5,1,6144,6144
-96,-64,6,0,6144,6144
-96,-64,6,1,6144,6144
-96,-32,0,0,3072,3072
-96,-32,0,1,3072,3072
-96,-32,1,0,3072,3072
-96,-32,1,1,3072,3072
-96,-32,2,0,3072,3072
-96,-32,2,1,3072,3072
-96,-32,3,0,3072,3072
-96,-32,3,1,3072,3072
-96,-32,4,0,3072,3072
-96,-32,4,1,3072,3072
-96,-32,5,0,3072,3072
-96,-32,5,1,3072,3072
-96,-32,6,0,3072,3072
-96,-32,6,1,3072,3072
-96,0,0,0,0,0
-96,0,0,1,0,0
-96,0,1,0,0,0
-96,0,1,1,0,0
-96,0,2,0,0,0
-96,0,2,1,0,0
-96,0,3,0,0,0
-96,0,3,1,0,0
-96,0,4,0,0,0
-96,0,4,1,0,0
-96,0,5,0,0,0
-96,0,5,1,0,0
-96,0,6,0,0,0
-96,0,6,1,0,0
-96,32,0,0,-3072,-3072
-96,32,0,1,-3072,-3072
-96,32,1,0,-3072,-3072
-96,32,1,1,-3072,-3072
-96,32,2,0,-3072,-3072
-96,32,2,1,-3072,-3072
-96,32,3,0,-3072,-3072
-96,32,3,1,-3072,-3072
-96,32,4,0,-3072,-3072
-96,32,4,1,-3072,-3072
-96,32,5,0,-3072,-3072
-96,32,5,1,-3072,-3072
-96,32,6,0,-3072,-3072
-96,32,6,1,-3072,-3072
-96,64,0,0,-6144,-6144
-96,64,0,1,-6144,-6144
-96,64,1,0,-6144,-6144
-96,64,1,1,-6144,-6144
-96,64,2,0,-6144,-6144
-96,64,2,1,-6144,-6144
-96,64,3,0,-6144,-6144
-96,64,3,1,-6144,-6144
-96,64,4,0,-6144,-6144
-96,64,4,1,-6144,-6144
-96,64,5,0,-6144,-6144
-96,64,5,1,-6144,-6144
-96,64,6,0,-6144,-6144
-96,64,6,1,-6144,-6144
-96,96,0,0,-9216,-9216
-96,96,0,1,-9216,-9216
-96,96,1,0,-9216,-9216
-96,96,1,1,-9216,-9216
-96,96,2,0,-9216,-9216
-96,96,2,1,-9216,-9216
-96,96,3,0,-9216,-9216
-96,96,3,1,-9216,-9216
-96,96,4,0,-9216,-9216
-96,96,4,1,-9216,-9216
-96,96,5,0,-9216,-9216
-96,96,5,1,-9216,-9216
-96,96,6,0,-9216,-9216
-96,96,6,1,-9216,-9216
-64,-128,0,0,8192,8192
-64,-128,0,1,8192,8192
-64,-128,1,0,8192,8192
-64,-128,1,1,8192,8192
-64,-128,2,0,8192,8192
-64,-128,2,1,8192,8192
-64,-128,3,0,8192,8192
-64,-128,3,1,8192,8192
-64,-128,4,0,8192,8192
-64,-128,4,1,8192,8192
-64,-128,5,0,8192,8192
-64,-128,5,1,8192,8192
-64,-128,6,0,8192,8192
-64,-128,6,1,8192,8192
-64,-96,0,0,6144,6144
-64,-96,0,1,6144,6144
-64,-96,1,0,6144,6144
-64,-96,1,1,6144,6144
-64,-96,2,0,6144,6144
-64,-96,2,1,6144,6144
-64,-96,3,0,6144,6144
-64,-96,3,1,6144,6144
-64,-96,4,0,6144,6144
-64,-96,4,1,6144,6144
-64,-96,5,0,6144,6144
-64,-96,5,1,6144,6144
-64,-96,6,0,6144,6144
-64,-96,6,1,6144,6144
-64,-64,0,0,4096,4096
-64,-64,0,1,4096,4096
-64,-64,1,0,4096,4096
-64,-64,1,1,4096,4096
-64,-64,2,0,4096,4096
-64,-64,2,1,4096,4096
-64,-64,3,0,4096,4096
-64,-64,3,1,4096,4096
-64,-64,4,0,4096,4096
-64,-64,4,1,4096,4096
-64,-64,5,0,4096,4096
-64,-64,5,1,4096,4096
-64,-64,6,0,4096,4096
-64,-64,6,1,4096,4096
-64,-32,0,0,2048,2048
-64,-32,0,1,2048,2048
-64,-32,1,0,2048,2048
-64,-32,1,1,2048,2048
-64,-32,2,0,2048,2048
-64,-32,2,1,2048,2048
-64,-32,3,0,2048,2048
-64,-32,3,1,2048,2048
-64,-32,4,0,2048,2048
-64,-32,4,1,2048,2048
-64,-32,5,0,2048,2048
-64,-32,5,1,2048,2048
-64,-32,6,0,2048,2048
-64,-32,6,1,2048,2048
-64,0,0,0,0,0
-64,0,0,1,0,0
-64,0,1,0,0,0
-64,0,1,1,0,0
-64,0,2,0,0,0
-64,0,2,1,0,0
-64,0,3,0,0,0
-64,0,3,1,0,0
-64,0,4,0,0,0
-64,0,4,1,0,0
-64,0,5,0,0,0
-64,0,5,1,0,0
-64,0,6,0,0,0
-64,0,6,1,0,0
-64,32,0,0,-2048,-2048
-64,32,0,1,-2048,-2048
-64,32,1,0,-2048,-2048
-64,32,1,1,-2048,-2048
-64,32,2,0,-2048,-2048
-64,32,2,1,-2048,-2048
-64,32,3,0,-2048,-2048
-64,32,3,1,-2048,-2048
-64,32,4,0,-2048,-2048
-64,32,4,1,-2048,-2048
-64,32,5,0,-2048,-2048
-64,32,5,1,-2048,-2048
-64,32,6,0,-2048,-2048
-64,32,6,1,-2048,-2048
-64,64,0,0,-4096,-4096
-64,64,0,1,-4096,-4096
-64,64,1,0,-4096,-4096
-64,64,1,1,-4096,-4096
-64,64,2,0,-4096,-4096
-64,64,2,1,-4096,-4096
-64,64,3,0,-4096,-4096
-64,64,3,1,-4096,-4096
-64,64,4,0,-4096,-4096
-64,64,4,1,-4096,-4096
-64,64,5,0,-4096,-4096
-64,64,5,1,-4096,-4096
-64,64,6,0,-4096,-4096
-64,64,6,1,-4096,-4096
-64,96,0,0,-6144,-6144
-64,96,0,1,-6144,-6144
-64,96,1,0,-6144,-6144
-64,96,1,1,-6144,-6144
-64,96,2,0,-6144,-6144
-64,96,2,1,-6144,-6144
-64,96,3,0,-6144,-6144
-64,96,3,1,-6144,-6144
-64,96,4,0,-6144,-6144
-64,96,4,1,-6144,-6144
-64,96,5,0,-6144,-6144
-64,96,5,1,-6144,-6144
-64,96,6,0,-6144,-6144
-64,96,6,1,-6144,-6144
-32,-128,0,0,4096,4096
-32,-128,0,1,4096,4096
-32,-128,1,0,4096,4096
-32,-128,1,1,4096,4096
-32,-128,2,0,4096,4096
-32,-128,2,1,4096,4096
-32,-128,3,0,4096,4096
-32,-128,3,1,4096,4096
-32,-128,4,0,4096,4096
-32,-128,4,1,4096,4096
-32,-128,5,0,4096,4096
-32,-128,5,1,4096,4096
-32,-128,6,0,4096,4096
-32,-128,6,1,4096,4096
-32,-96,0,0,3072,3072
-32,-96,0,1,3072,3072
-32,-96,1,0,3072,3072
-32,-96,1,1,3072,3072
-32,-96,2,0,3072,3072
-32,-96,2,1,3072,3072
-32,-96,3,0,3072,3072
-32,-96,3,1,3072,3072
-32,-96,4,0,3072,3072
-32,-96,4,1,3072,3072
-32,-96,5,0,3072,3072
-32,-96,5,1,3072,3072
-32,-96,6,0,3072,3072
-32,-96,6,1,3072,3072
-32,-64,0,0,2048,2048
-32,-64,0,1,2048,2048
-32,-64,1,0,2048,2048
-32,-64,1,1,2048,2048
-32,-64,2,0,2048,2048
-32,-64,2,1,2048,2048
-32,-64,3,0,2048,2048
-32,-64,3,1,2048,2048
-32,-64,4,0,2048,2048
-32,-64,4,1,2048,2048
-32,-64,5,0,2048,2048
-32,-64,5,1,2048,2048
-32,-64,6,0,2048,2048
-32,-64,6,1,2048,2048
-32,-32,0,0,1024,1024
-32,-32,0,1,1024,1024
-32,-32,1,0,1024,1024
-32,-32,1,1,1024,1024
-32,-32,2,0,1024,1024
-32,-32,2,1,1024,1024
-32,-32,3,0,1024,1024
-32,-32,3,1,1024,1024
-32,-32,4,0,1024,1024
-32,-32,4,1,1024,1024
-32,-32,5,0,1024,1024
-32,-32,5,1,1024,1024
-32,-32,6,0,1024,1024
-32,-32,6,1,1024,1024
-32,0,0,0,0,0
-32,0,0,1,0,0
-32,0,1,0,0,0
-32,0,1,1,0,0
-32,0,2,0,0,0
-32,0,2,1,0,0
-32,0,3,0,0,0
-32,0,3,1,0,0
-32,0,4,0,0,0
-32,0,4,1,0,0
-32,0,5,0,0,0
-32,0,5,1,0,0
-32,0,6,0,0,0
-32,0,6,1,0,0
-32,32,0,0,-1024,-1024
-32,32,0,1,-1024,-1024
-32,32,1,0,-1024,-1024
-32,32,1,1,-1024,-1024
-32,32,2,0,-1024,-1024
-32,32,2,1,-1024,-1024
-32,32,3,0,-1024,-1024
-32,32,3,1,-1024,-1024
-32,32,4,0,-1024,-1024
-32,32,4,1,-1024,-1024
-32,32,5,0,-1024,-1024
-32,32,5,1,-1024,-1024
-32,32,6,0,-1024,-1024
-32,32,6,1,-1024,-1024
-32,64,0,0,-2048,-2048
-32,64,0,1,-2048,-2048
-32,64,1,0,-2048,-2048
-32,64,1,1,-2048,-2048
-32,64,2,0,-2048,-2048
-32,64,2,1,-2048,-2048
-32,64,3,0,-2048,-2048
-32,64,3,1,-2048,-2048
-32,64,4,0,-2048,-2048
-32,64,4,1,-2048,-2048
-32,64,5,0,-2048,-2048
-32,64,5,1,-2048,-2048
-32,64,6,0,-2048,-2048
-32,64,6,1,-2048,-2048
-32,96,0,0,-3072,-3072
-32,96,0,1,-3072,-3072
-32,96,1,0,-3072,-3072
-32,96,1,1,-3072,-3072
-32,96,2,0,-3072,-3072
-32,96,2,1,-3072,-3072
-32,96,3,0,-3072,-3072
-32,96,3,1,-3072,-3072
-32,96,4,0,-3072,-3072
-32,96,4,1,-3072,-3072
-32,96,5,0,-3072,-3072
-32,96,5,1,-3072,-3072
-32,96,6,0,-3072,-3072
-32,96,6,1,-3072,-3072
0,-128,0,0,0,0
0,-128,0,1,0,0
0,-128,1,0,0,0
0,-128,1,1,0,0
0,-128,2,0,0,0
0,-128,2,1,0,0
0,-128,3,0,0,0
0,-128,3,1,0,0
0,-128,4,0,0,0
0,-128,4,1,0,0
0,-128,5,0,0,0
0,-128,5,1,0,0
0,-128,6,0,0,0
0,-128,6,1,0,0
0,-96,0,0,0,0
0,-96,0,1,0,0
0,-96,1,0,0,0
0,-96,1,1,0,0
0,-96,2,0,0,0
0,-96,2,1,0,0
0,-96,3,0,0,0
0,-96,3,1,0,0
0,-96,4,0,0,0
0,-96,4,1,0,0
0,-96,5,0,0,0
0,-96,5,1,0,0
0,-96,6,0,0,0
0,-96,6,1,0,0
0,-64,0,0,0,0
0,-64,0,1,0,0
0,-64,1,0,0,0
0,-64,1,1,0,0
0,-64,2,0,0,0
0,-64,2,1,0,0
0,-64,3,0,0,0
0,-64,3,1,0,0
0,-64,4,0,0,0
0,-64,4,1,0,0
0,-64,5,0,0,0
0,-64,5,1,0,0
0,-64,6,0,0,0
0,-64,6,1,0,0
0,-32,0,0,0,0
0,-32,0,1,0,0
0,-32,1,0,0,0
0,-32,1,1,0,0
0,-32,2,0,0,0
0,-32,2,1,0,0
0,-32,3,0,0,0
0,-32,3,1,0,0
0,-32,4,0,0,0
0,-32,4,1,0,0
0,-32,5,0,0,0
0,-32,5,1,0,0
0,-32,6,0,0,0
0,-32,6,1,0,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,1,0,0,0
0,0,1,1,0,0
0,0,2,0,0,0
0,0,2,1,0,0
0,0,3,0,0,0
0,0,3,1,0,0
0,0,4,0,0,0
0,0,4,1,0,0
0,0,5,0,0,0
0,0,5,1,0,0
0,0,6,0,0,0
0,0,6,1,0,0
0,32,0,0,0,0
0,32,0,1,0,0
0,32,1,0,0,0
0,32,1,1,0,0
0,32,2,0,0,0
0,32,2,1,0,0
0,32,3,0,0,0
0,32,3,1,0,0
0,32,4,0,0,0
0,32,4,1,0,0
0,32,5,0,0,0
0,32,5,1,0,0
0,32,6,0,0,0
0,32,6,1,0,0
0,64,0,0,0,0
0,64,0,1,0,0
0,64,1,0,0,0
0,64,1,1,0,0
0,64,2,0,0,0
0,64,2,1,0,0
0,64,3,0,0,0
0,64,3,1,0,0
0,64,4,0,0,0
0,64,4,1,0,0
0,64,5,0,0,0
0,64,5,1,0,0
0,64,6,0,0,0
0,64,6,1,0,0
0,96,0,0,0,0
0,96,0,1,0,0
0,96,1,0,0,0
0,96,1,1,0,0
0,96,2,0,0,0
0,96,2,1,0,0
0,96,3,0,0,0
0,96,3,1,0,0
0,96,4,0,0,0
0,96,4,1,0,0
0,96,5,0,0,0
0,96,5,1,0,0
0,96,6,0,0,0
0,96,6,1,0,0
32,-128,0,0,-4096,-4096
32,-128,0,1,-4096,-4096
32,-128,1,0,-4096,-4096
32,-128,1,1,-4096,-4096
32,-128,2,0,-4096,-4096
32,-128,2,1,-4096,-4096
32,-128,3,0,-4096,-4096
32,-128,3,1,-4096,-4096
32,-128,4,0,-4096,-4096
32,-128,4,1,-4096,-4096
32,-128,5,0,-4096,-4096
32,-128,5,1,-4096,-4096
32,-128,6,0,-4096,-4096
32,-128,6,1,-4096,-4096
32,-96,0,0,-3072,-3072
32,-96,0,1,-3072,-3072
32,-96,1,0,-3072,-3072
32,-96,1,1,-3072,-3072
32,-96,2,0,-3072,-3072
32,-96,2,1,-3072,-3072
32,-96,3,0,-3072,-3072
32,-96,3,1,-3072,-3072
32,-96,4,0,-3072,-3072
32,-96,4,1,-3072,-3072
32,-96,5,0,-3072,-3072
32,-96,5,1,-3072,-3072
32,-96,6,0,-3072,-3072
32,-96,6,1,-3072,-3072
32,-64,0,0,-2048,-2048
32,-64,0,1,-2048,-2048
32,-64,1,0,-2048,-2048
32,-64,1,1,-2048,-2048
32,-64,2,0,-2048,-2048
32,-64,2,1,-2048,-2048
